Distribution,N,gamma3_mean,OLS_Mean,OLS_Std,OLS_Bias,OLS_MSE,PMM2_Mean,PMM2_Std,PMM2_Bias,PMM2_MSE,RE,Var_Reduction_%,n_successful
Gaussian,100,-0.007652028794270751,0.47653887975025805,0.08718265623815721,-0.02346112024974195,0.008151239712113546,0.47657327894744356,0.08823907948908714,-0.023426721052556443,0.008334946408355729,0.9761987691206967,-0.0244594770321387,2000
Gaussian,200,0.0025110523965499194,0.4863514426245646,0.06178482002473015,-0.01364855737543541,0.004003647103918848,0.4864938381703103,0.06232340697713649,-0.013506161829689722,0.004066623464607552,0.982791063719187,-0.006460829266790963,2000
Gaussian,500,-0.0011840301277300535,0.49502025384877407,0.038498231868950954,-0.004979746151225928,0.0015069117287661604,0.4950780626584267,0.03862192923523168,-0.0049219373415733125,0.001515878885045617,0.9936047068966766,-0.0008990336208993588,2000
Gaussian,1000,0.002003897942654029,0.49704198055010523,0.027506878672642773,-0.0029580194498947665,0.0007653782533774456,0.49706883228111753,0.027530150272287043,-0.002931167718882466,0.0007665009182109251,0.9983100881383556,-0.0001582459329522279,2000
"Gamma(2,1)",100,1.260434847826631,0.4771861196742916,0.08651923010496902,-0.022813880325708413,0.00800605031347232,0.48768084643654525,0.06643448565007141,-0.012319153563454754,0.004565302428109524,1.6960479976042586,-0.39760204973404134,2000
"Gamma(2,1)",200,1.3398729705358996,0.4872701115226022,0.060062187632618516,-0.01272988847739781,0.0037695164438628593,0.49226699778189986,0.04702184214390023,-0.007733002218100138,0.002270852961911014,1.6315598682130914,-0.19617438055554173,2000
"Gamma(2,1)",500,1.3785488438328324,0.49607998035263695,0.03771145159121597,-0.003920019647363049,0.001437520135152338,0.49779668742197336,0.029666031039864017,-0.0022033125780266394,0.0008849279839746657,1.6159488343823305,-0.08295748663333438,2000
"Gamma(2,1)",1000,1.4001430170124418,0.4976302747978911,0.027402267394628477,-0.0023697252021088744,0.0007564998559002289,0.499162885070548,0.021201599201103965,-0.0008371149294519875,0.00045020857008936375,1.6704587636967223,-0.03939306076632953,2000
Lognormal,100,1.4620533228045998,0.4733589852955955,0.08450994894756136,-0.026641014704404498,0.007851675135599728,0.4855346577308629,0.06532813418899791,-0.014465342269137094,0.004477011243579001,1.6734593577593337,-0.38563097376446537,2000
Lognormal,200,1.5902418901424076,0.487573001583982,0.06110822549239703,-0.01242699841601802,0.0038886455124613555,0.4943759391569713,0.04742673494192166,-0.005624060843028689,0.002280925247617381,1.6601712589768916,-0.20559153976017197,2000
Lognormal,500,1.66280448686249,0.4954938118582311,0.03937570719580828,-0.0045061881417688965,0.0015707520487390472,0.4974219759395303,0.03014005615886533,-0.002578024060469697,0.0009150691933159168,1.7067449220552613,-0.08223517713740051,2000
Lognormal,1000,1.711098800486908,0.4990673189519054,0.028307796320880377,-0.0009326810480945746,0.0008022012264819233,0.4995229732746894,0.02119651750956578,-0.0004770267253105809,0.0004495199090299892,1.7835409938741913,-0.042835039464209045,2000
Chi-squared(3),100,1.4528038327733679,0.47545570318036723,0.08723654686396534,-0.02454429681963277,0.00821263761511906,0.48613128885479107,0.0655657308377343,-0.013868711145208934,0.0044912062091154665,1.770284715157383,-0.4550069054238754,2000
Chi-squared(3),200,1.5473685813392812,0.4887095004971613,0.06098460127557767,-0.011290499502838724,0.003846596971764792,0.4957917040842101,0.04607870496749531,-0.004208295915789917,0.0021409568059963307,1.7516198080417467,-0.21824167438517122,2000
Chi-squared(3),500,1.594992863472909,0.4936939712719762,0.038689122643886985,-0.006306028728023827,0.0015366142092723897,0.496656604512282,0.028293902807780574,-0.003343395487718004,0.0008117232294834262,1.869786620914906,-0.09269240425493536,2000
Chi-squared(3),1000,1.6174137378035547,0.4981351579764329,0.02740455123066079,-0.001864842023567126,0.0007544870639267737,0.4996727648528376,0.020356563653183408,-0.0003272351471623747,0.0004144967666076462,1.8123265553536334,-0.04527104685758292,2000
